Rk,Player,PA,R_prod,oWAR,dWAR,BtRuns,WAR/pos,WPA,Year,Age,Tm,Lg,G,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,Pos
350,Adeiny Hechavarria\hechaad01,221,58,1.0,0.2,-2,0.9,1.617,2019,30,TOT,NL,84,203,34,49,12,1,9,33,14,0,48,3,0,1,3,3,1,.241,.299,.443,.742,46H/5D
351,Mike Freeman\freemmi01,213,47,1.0,0.4,0,1.2,-0.263,2019,31,CLE,AL,75,177,27,49,8,0,4,24,22,0,61,4,6,4,2,1,2,.277,.362,.390,.752,4H5/67D1
352,Bo Bichette\bichebo01,212,42,1.8,0.6,13,2.3,0.298,2019,21,TOR,AL,46,196,32,61,18,0,11,21,14,0,50,1,0,1,2,4,4,.311,.358,.571,.930,*6/D
353,Kevan Smith\smithke04,211,36,0.7,0.2,-3,0.6,-1.022,2019,31,LAA,AL,67,191,21,48,12,0,5,20,16,0,37,3,0,1,8,2,0,.251,.318,.393,.710,*2/HD
354,Ildemaro Vargas\vargail01,211,43,0.4,0.4,-6,0.7,-1.018,2019,27,ARI,NL,92,201,25,54,9,1,6,24,9,0,24,0,0,1,6,1,0,.269,.299,.413,.712,*4H5/679
355,Jacob Stallings\stallja01,210,33,0.5,1.4,-4,1.5,-1.247,2019,29,PIT,NL,71,191,26,50,5,0,6,13,16,5,40,2,1,0,3,0,0,.262,.325,.382,.708,*2H/1
356,Willians Astudillo\astudwi01,204,45,0.0,0.1,-6,0.1,-0.144,2019,27,MIN,AL,58,190,28,51,9,0,4,21,5,0,8,5,0,4,6,0,0,.268,.299,.379,.678,235/H974D
357,Alex Avila\avilaal01,201,37,0.7,1.0,1,1.4,-1.015,2019,32,ARI,NL,63,164,22,34,8,0,9,24,36,7,68,1,0,0,8,1,0,.207,.353,.421,.774,*2/H1
358,Isan Diaz\diazis01,201,35,-0.6,0.0,-13,-0.8,-0.252,2019,23,MIA,NL,49,179,17,31,5,2,5,23,19,0,59,2,0,1,2,0,3,.173,.259,.307,.566,*4/H
359,Ty France\francty01,201,37,0.1,-0.4,-5,-0.3,-0.566,2019,24,SDP,NL,69,184,20,43,8,1,7,24,9,0,49,7,0,1,8,0,2,.234,.294,.402,.696,*5H4/13
360,Kendrys Morales\moralke01,201,26,-0.9,-0.5,-10,-1.0,-0.871,2019,36,TOT,AL,53,170,16,33,2,1,2,12,26,0,26,4,0,1,6,0,0,.194,.313,.253,.566,*3D/H1
361,Chance Sisco\siscoch01,198,41,0.7,-0.3,-1,0.0,-0.839,2019,24,BAL,AL,59,167,29,35,7,0,8,20,22,0,61,9,0,0,5,0,1,.210,.333,.395,.729,*2/HD3
362,Kyle Farmer\farmeky01,197,40,0.2,0.3,-8,0.4,-1.118,2019,28,CIN,NL,97,183,22,42,6,0,9,27,10,1,59,3,0,1,1,4,1,.230,.279,.410,.689,4H325/61D
363,Dominic Smith\smithdo02,197,49,0.9,-0.6,9,0.7,0.088,2019,24,NYM,NL,89,177,35,50,10,0,11,25,19,0,44,1,0,0,5,1,2,.282,.355,.525,.881,H37/9
364,Bubba Starling\starlbu01,197,34,-0.7,-0.2,-14,-0.8,-2.072,2019,26,KCR,AL,56,186,26,40,7,0,4,12,9,0,56,1,1,0,4,2,0,.215,.255,.317,.572,*89/7H
365,Chris Owings\owingch01,196,24,-1.3,0.5,-23,-0.9,-1.926,2019,27,TOT,AL,66,180,13,25,6,1,3,14,14,0,78,2,0,0,2,5,2,.139,.209,.233,.443,4H56/8971D
366,Will Smith\smithwi05,196,57,1.7,0.4,9,1.7,0.950,2019,24,LAD,NL,54,170,30,43,9,0,15,42,18,1,52,5,0,3,3,2,0,.253,.337,.571,.907,*2/HD
367,Daniel Descalso\descada01,194,33,-0.9,-0.1,-16,-1.1,-0.339,2019,32,CHC,NL,82,168,20,29,5,1,2,15,23,0,57,0,1,1,3,2,1,.173,.271,.250,.521,*4H/5D31
368,Austin Slater\slateau01,192,36,0.7,-0.3,0,0.6,0.215,2019,26,SFG,NL,68,168,20,40,9,3,5,21,22,1,59,2,0,0,1,1,0,.238,.333,.417,.750,*9H/374
369,Sandy Leon\leonsa01,191,28,-0.2,0.0,-15,-0.6,-0.993,2019,30,BOS,AL,65,172,14,33,3,0,5,19,13,0,47,1,4,1,0,0,0,.192,.251,.297,.548,*2/3HD
370,Alex Dickerson\dickeal01,190,51,0.7,-0.2,4,0.7,0.354,2019,29,TOT,NL,68,174,29,48,13,3,6,28,13,1,42,2,0,1,5,1,1,.276,.332,.489,.820,*7H/9
371,Ryan Zimmerman\zimmery01,190,41,0.0,0.0,-4,0.2,-0.889,2019,34,WSN,NL,52,171,20,44,9,0,6,27,17,0,39,0,0,2,4,0,0,.257,.321,.415,.736,*3/HD
372,Austin Dean\deanau01,189,32,-0.4,-1.0,-7,-1.2,-0.753,2019,25,MIA,NL,64,178,17,40,14,0,6,21,9,1,47,0,1,1,5,0,2,.225,.261,.404,.665,*7H/39
373,Joey Rickard\rickajo01,189,21,0.2,0.2,-5,0.5,-0.564,2019,28,TOT,ML,68,168,14,38,9,2,3,10,18,1,50,3,0,0,1,4,2,.226,.312,.357,.669,798H/D
374,Ryon Healy\healyry01,187,43,0.5,-0.4,1,0.0,-0.754,2019,27,SEA,AL,47,169,24,40,16,0,7,26,13,0,40,1,0,4,1,0,0,.237,.289,.456,.744,*53
375,Travis Demeritte\demertr01,186,31,-0.4,-1.0,-9,-1.2,-0.847,2019,24,DET,AL,48,169,24,38,7,2,3,10,14,0,63,1,1,1,3,3,0,.225,.286,.343,.630,*9/H
376,David Freese\freesda01,186,53,1.5,-0.3,15,1.5,1.644,2019,36,LAD,NL,79,162,35,51,13,0,11,29,23,0,44,1,0,0,7,0,0,.315,.403,.599,1.002,*3H/D5
377,Jung Ho Kang\kangju01,185,29,-0.1,-0.4,-11,-0.7,0.061,2019,32,PIT,NL,65,172,15,29,7,1,10,24,11,0,60,1,0,1,4,0,0,.169,.222,.395,.617,*5H6
378,Trent Grisham\grishtr01,183,42,0.2,0.3,-2,0.6,-0.287,2019,22,MIL,NL,51,156,24,36,6,2,6,24,20,0,48,4,0,3,3,1,0,.231,.328,.410,.738,879H
379,Matt Wieters\wietema01,183,31,0.2,0.5,-6,0.5,-0.413,2019,33,STL,NL,67,168,15,36,4,0,11,27,12,0,47,1,0,2,3,1,1,.214,.268,.435,.702,*2H
380,Jon Jay\jayjo02,182,21,-0.1,-0.9,-7,-0.8,-0.717,2019,34,CHW,AL,47,165,12,44,8,0,0,9,8,0,30,3,5,1,1,0,0,.267,.311,.315,.626,*97/HD
381,Yairo Munoz\munozya01,181,31,-0.1,-0.4,-8,-0.6,-0.056,2019,24,STL,NL,88,172,20,46,7,1,2,13,7,0,37,1,0,1,5,8,3,.267,.298,.355,.653,H5697/84
382,Tyler Austin\austity01,179,45,0.3,-0.2,-3,0.4,0.400,2019,27,TOT,ML,89,154,30,29,5,1,9,24,24,1,67,0,0,1,2,2,0,.188,.296,.409,.705,*H37/9D
383,Manny Pina\pinama01,179,28,0.4,0.6,-3,0.8,-1.393,2019,32,MIL,NL,76,158,10,36,8,0,7,25,16,1,50,4,0,1,1,0,0,.228,.313,.411,.724,*2H/5
384,Ben Zobrist\zobribe01,176,40,-0.1,-0.2,-4,-0.3,0.384,2019,38,CHC,NL,47,150,24,39,5,0,1,17,23,0,24,1,0,2,6,0,0,.260,.358,.313,.671,*49/7H61D
385,Eduardo Nunez\nunezed02,174,31,-0.7,-0.9,-15,-1.6,-2.338,2019,32,BOS,AL,60,167,13,38,7,0,2,20,4,0,27,0,1,2,6,5,1,.228,.243,.305,.548,*4HD/561
386,Kevin Plawecki\plaweke01,174,27,0.1,0.1,-8,-0.1,-1.282,2019,28,CLE,AL,59,158,13,35,10,0,3,17,12,0,31,3,0,1,4,0,1,.222,.287,.342,.629,*2/H13D
387,Justin Bour\bourju01,170,36,-0.6,-0.1,-8,-0.4,-0.884,2019,31,LAA,AL,52,151,18,26,5,0,8,26,17,0,52,1,0,1,7,0,0,.172,.259,.364,.623,*3H/D
388,Nate Lowe\lowena01,170,36,0.6,-0.4,2,0.4,0.193,2019,23,TBR,AL,50,152,24,40,8,0,7,19,13,0,50,2,0,2,4,0,0,.263,.325,.454,.779,3DH/5
389,Brad Miller\millebr02,170,38,1.2,0.3,5,1.5,0.121,2019,29,TOT,ML,79,154,26,40,6,1,13,25,15,0,45,1,0,0,2,2,0,.260,.329,.565,.894,H574/69
390,Matt Duffy\duffyma01,169,23,0.3,-0.1,-3,0.1,-0.104,2019,28,TBR,AL,46,147,12,37,8,0,1,12,19,0,29,2,0,1,4,0,1,.252,.343,.327,.670,*5/6
391,Shed Long\longsh01,168,31,0.8,-0.9,3,-0.1,-1.142,2019,23,SEA,AL,42,152,21,40,12,1,5,15,16,0,40,0,0,0,1,3,3,.263,.333,.454,.787,*47/HD5
392,Derek Fisher\fishede01,167,33,-0.2,-0.1,-6,-0.1,-0.179,2019,25,TOT,AL,57,146,23,27,4,1,7,17,21,0,57,0,0,0,3,5,1,.185,.287,.370,.657,*7H/9D8
393,Gregory Polanco\polangr01,167,34,-0.1,-0.7,-3,-0.6,0.054,2019,27,PIT,NL,42,153,23,37,8,1,6,17,12,1,49,1,0,0,4,3,1,.242,.301,.425,.726,*9/HD
394,Carlos Gonzalez\gonzaca01,166,28,-0.8,0.1,-11,-0.5,-1.450,2019,33,TOT,ML,45,145,21,29,3,0,3,10,18,1,52,1,0,2,3,0,3,.200,.289,.283,.572,79/DH
395,Chris Iannetta\iannech01,164,35,-0.1,-0.2,-6,-0.5,-0.737,2019,36,COL,NL,52,144,20,32,10,0,6,21,18,3,54,1,0,1,9,0,0,.222,.311,.417,.728,*2H/D
396,Matt Thaiss\thaisma01,164,32,0.1,0.4,-3,0.5,-0.415,2019,24,LAA,AL,53,147,17,31,7,0,8,23,17,0,52,0,0,0,4,0,0,.211,.293,.422,.714,*53/H
397,Mike Ford\fordmi01,163,43,1.0,-0.2,8,1.1,1.159,2019,26,NYY,AL,50,143,30,37,7,0,12,25,17,2,28,3,0,0,0,0,0,.259,.350,.559,.909,*3DH/1
398,Ryan Goins\goinsry01,163,21,0.1,-0.1,-3,-0.1,-0.459,2019,31,CHW,AL,52,144,13,36,6,1,2,10,17,1,44,1,1,0,7,0,1,.250,.333,.347,.681,56H/937D
399,Mark Reynolds\reynoma01,162,29,-1.0,-0.2,-11,-1.1,-0.110,2019,35,COL,NL,78,135,13,23,7,0,4,20,22,0,57,2,0,3,3,2,0,.170,.290,.311,.601,*H3/1D
400,Francisco Cervelli\cervefr01,160,24,0.1,0.5,-6,0.3,-0.554,2019,33,TOT,NL,48,141,15,30,8,1,3,12,13,0,41,5,1,0,7,1,0,.213,.302,.348,.649,*2/H3D
401,Andrew Knapp\knappan01,160,18,0.0,0.3,-6,0.1,-1.601,2019,27,PHI,NL,74,136,12,29,9,0,2,8,18,2,51,3,3,0,2,0,0,.213,.318,.324,.642,*2H/3
402,Cole Tucker\tuckeco01,159,27,0.1,0.4,-8,0.2,-0.268,2019,22,PIT,NL,56,147,16,31,10,3,2,13,10,1,40,1,1,0,2,0,0,.211,.266,.361,.626,*6H
403,Pablo Reyes\reyespa01,157,35,-0.5,-0.7,-9,-1.0,-0.298,2019,25,PIT,NL,71,143,18,29,7,2,2,19,13,0,36,1,0,0,0,1,1,.203,.274,.322,.596,H798/465
404,Josh Rojas\rojasjo01,157,31,-0.3,0.1,-7,-0.1,-0.963,2019,25,ARI,NL,41,138,17,30,7,0,2,16,18,0,41,1,0,0,3,4,2,.217,.312,.312,.624,*7/9H4
405,Jose Rondon\rondojo02,157,16,-0.3,-0.3,-11,-0.8,-1.427,2019,25,TOT,AL,56,143,10,28,3,0,3,9,11,0,38,2,1,0,4,0,0,.196,.263,.280,.543,465H/D731
406,Charlie Tilson\tilsoch01,157,27,-0.3,-0.6,-9,-0.8,0.083,2019,26,CHW,AL,54,144,16,33,5,0,1,12,10,1,38,3,0,0,1,4,0,.229,.293,.285,.578,*978/H
407,Sam Travis\travisa01,157,27,-0.6,-0.5,-7,-0.7,-0.574,2019,25,BOS,AL,59,144,17,31,4,1,6,16,11,2,36,1,0,1,6,2,0,.215,.274,.382,.656,37H/D9
408,Erik Gonzalez\gonzaer01,156,20,-0.1,0.7,-7,0.5,-1.209,2019,27,PIT,NL,53,142,15,36,4,1,1,6,9,3,37,1,3,1,5,4,1,.254,.301,.317,.618,65/H78
409,Ian Happ\happia01,156,44,1.0,0.0,5,1.0,1.024,2019,24,CHC,NL,58,140,25,37,7,1,11,30,15,0,39,0,0,1,1,2,0,.264,.333,.564,.898,H784/953
410,Marco Hernandez\hernama02,155,27,0.0,0.1,-9,-0.1,-0.746,2019,26,BOS,AL,61,148,18,37,7,0,2,11,3,0,42,3,1,0,1,1,2,.250,.279,.338,.617,*4H/D6
411,Tyler O'Neill\oneilty01,151,29,0.3,-0.2,-3,0.2,-0.319,2019,24,STL,NL,60,141,18,37,6,0,5,16,10,0,53,0,0,0,3,1,0,.262,.311,.411,.723,*7H/98
412,Meibrys Viloria\vilorme01,148,21,-0.4,0.5,-10,-0.1,-0.641,2019,22,KCR,AL,42,133,7,28,7,0,1,15,10,0,44,0,1,4,4,0,1,.211,.259,.286,.544,*2/HD
413,Josh Harrison\harrijo05,147,17,-1.0,0.1,-15,-0.9,-1.739,2019,31,DET,AL,36,137,10,24,7,1,1,8,6,0,27,2,0,2,0,4,2,.175,.218,.263,.480,*4/HD
414,Cesar Puello\puellce01,147,28,0.6,0.6,0,1.2,0.355,2019,28,TOT,ML,44,125,14,31,5,0,4,18,10,1,38,11,1,0,2,0,0,.248,.356,.384,.740,879/H
415,Max Stassi\stassma01,147,11,-1.3,0.0,-19,-1.5,-1.598,2019,28,TOT,AL,51,132,7,18,1,0,1,5,12,0,49,1,0,2,3,0,0,.136,.211,.167,.378,*2/3H1D
416,Charlie Culberson\culbech01,144,29,0.0,-0.3,-4,0.0,-1.194,2019,30,ATL,NL,108,135,14,35,5,2,5,20,6,0,44,1,1,1,5,0,1,.259,.294,.437,.731,*H793/615
417,Wilmer Difo\difowi01,144,21,-0.4,-0.5,-8,-1.1,-0.851,2019,27,WSN,NL,43,131,15,33,2,0,2,8,12,3,29,0,1,0,2,0,1,.252,.315,.313,.628,*6/5H4
418,Tomas Nido\nidoto01,144,19,-0.7,0.1,-11,-0.8,-0.951,2019,25,NYM,NL,50,136,9,26,5,0,4,14,7,2,37,0,1,0,4,0,0,.191,.231,.316,.547,*2/H
419,Mac Williamson\willima11,144,26,-0.9,0.3,-11,-0.5,-1.684,2019,28,TOT,ML,40,128,13,20,1,0,4,17,14,0,44,2,0,0,3,2,1,.156,.250,.258,.508,*7/H9D
420,Mike Brosseau\brossmi01,142,27,0.6,0.0,1,0.6,0.502,2019,25,TBR,AL,50,132,17,36,7,0,6,16,7,0,39,2,1,0,3,1,0,.273,.319,.462,.781,*45H/9713D
421,Cam Gallagher\gallaca01,142,23,0.2,0.2,-4,0.2,-0.763,2019,26,KCR,AL,45,126,14,30,7,0,3,12,11,0,28,3,1,1,3,0,1,.238,.312,.365,.677,*2/H
422,DJ Stewart\stewadj01,142,26,-0.1,-0.5,-2,-0.4,-0.511,2019,25,BAL,AL,44,126,15,30,6,0,4,15,14,1,26,1,0,1,3,1,2,.238,.317,.381,.698,*97/HD
423,Scooter Gennett\gennesc01,139,24,-0.6,-0.4,-10,-1.0,-0.981,2019,29,TOT,NL,42,133,15,30,7,0,2,11,2,0,41,2,0,2,1,0,0,.226,.245,.323,.568,*4/H
424,Odubel Herrera\herreod01,139,27,-0.1,-0.3,-7,-0.5,-0.307,2019,27,PHI,NL,39,126,12,28,10,1,1,16,11,0,33,1,0,1,0,2,2,.222,.288,.341,.629,*8/H
425,JT Riddle\riddljt01,139,21,-0.4,-0.1,-9,-0.6,-1.227,2019,27,MIA,NL,51,132,15,25,6,0,6,12,5,1,42,2,0,0,3,0,0,.189,.230,.371,.601,*8H6
426,Sean Rodriguez\rodrise01,139,32,0.4,0.2,-1,0.6,0.096,2019,34,PHI,NL,76,112,24,25,5,0,4,12,19,0,41,3,4,1,2,1,1,.223,.348,.375,.723,H56/794813D
427,Humberto Arteaga\arteahu01,135,15,-0.2,-0.4,-12,-0.8,-1.079,2019,25,KCR,AL,41,122,11,24,4,0,0,4,8,0,28,2,3,0,2,1,1,.197,.258,.230,.487,*6/H415
428,Nick Solak\solakni01,135,31,0.9,-0.3,4,0.7,1.374,2019,24,TEX,AL,33,116,19,34,6,1,5,17,15,1,29,4,0,0,2,2,0,.293,.393,.491,.884,*D5/4H
429,Adam Duvall\duvalad01,130,26,0.6,-0.1,3,0.6,-0.194,2019,30,ATL,NL,41,120,17,32,4,1,10,19,7,0,39,2,0,1,0,0,0,.267,.315,.567,.882,*7H/9
430,Bryan Holaday\holadbr01,129,20,0.6,0.0,2,0.4,-0.905,2019,31,MIA,NL,43,115,12,32,6,0,4,12,11,2,21,1,1,1,5,0,1,.278,.344,.435,.779,*2/H1
