Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,EV,BsR,f-Off,Def,fWAR,playerid
YasielPuig,- - -,149,611,24,76,84,19,7.20%,21.80%,0.191,0.308,0.267,0.327,0.458,0.33,101,90,-0.9,-0.5,-7.1,1.2,14225
TeoscarHernandez,Blue Jays,125,464,26,58,65,6,9.70%,33.00%,0.242,0.293,0.23,0.306,0.472,0.325,102,91.2,0.7,1.8,-5.4,1.2,13066
MattCarpenter,Cardinals,129,492,15,59,46,6,12.80%,26.20%,0.166,0.285,0.226,0.334,0.392,0.315,95,88,0.2,-2.8,-0.7,1.2,8090
ReeseMcGuire,Blue Jays,30,105,5,14,11,0,6.70%,17.10%,0.227,0.324,0.299,0.346,0.526,0.364,128,86.7,-0.2,3.6,5.1,1.2,15674
MattJoyce,Braves,129,238,7,32,23,0,16.00%,18.90%,0.155,0.351,0.295,0.408,0.45,0.372,128,87.7,-0.1,8.8,-4.2,1.2,3353
BradMiller,- - -,79,170,13,26,25,2,8.80%,26.50%,0.305,0.281,0.26,0.329,0.565,0.368,126,92.6,0.2,6.1,0.6,1.2,12775
RussellMartin,Dodgers,83,249,6,29,20,1,12.00%,24.10%,0.11,0.276,0.22,0.337,0.33,0.295,83,88.2,0.2,-5.3,9.4,1.2,4616
YadierMolina,Cardinals,113,452,10,45,57,6,5.10%,12.80%,0.129,0.289,0.27,0.312,0.399,0.303,87,87.4,-3.8,-11.4,8.8,1.2,7007
LuisRengifo,Angels,108,406,7,44,33,2,9.90%,22.90%,0.126,0.3,0.238,0.321,0.364,0.298,86,87.1,0.5,-6.7,4.3,1.2,19858
EddieRosario,Twins,137,590,32,91,109,3,3.70%,14.60%,0.224,0.273,0.276,0.3,0.5,0.329,103,89.2,0.2,2.7,-11.7,1.2,12155
EnriqueHernandez,Dodgers,130,460,17,57,64,4,7.80%,21.10%,0.174,0.266,0.237,0.304,0.411,0.301,88,88.3,1.5,-6.1,3.1,1.2,10472
AledmysDiaz,Astros,69,247,9,36,40,2,10.50%,11.30%,0.195,0.268,0.271,0.356,0.467,0.345,119,88.3,-0.6,5.3,-2.3,1.1,15937
JakeMarisnick,Astros,120,318,10,46,34,10,5.30%,29.90%,0.178,0.31,0.233,0.289,0.411,0.297,86,86.7,2,-3.8,4,1.1,11339
BrianMcCann,Braves,85,316,12,28,45,0,9.80%,16.80%,0.162,0.261,0.249,0.323,0.412,0.311,89,88.8,-2.5,-7.1,8.3,1.1,4810
MitchHaniger,Mariners,63,283,15,46,32,4,10.60%,28.60%,0.244,0.257,0.22,0.314,0.463,0.326,106,88.4,0.5,2.6,-1.2,1.1,14274
DerekDietrich,Reds,113,306,19,41,43,1,9.20%,24.20%,0.275,0.176,0.187,0.328,0.462,0.334,102,87.2,1.4,2.4,-0.9,1.1,10542
