Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,EV,BsR,f-Off,Def,fWAR,playerid
ZacGallen,- - -,15,24,0,2,1,0,0.00%,33.30%,0,0.182,0.105,0.105,0.105,0.092,-52,84.2,0,-4.8,3,-0.1,19291
JeffSamardzija,Giants,32,56,0,1,1,0,0.00%,53.60%,0.04,0.3,0.12,0.12,0.16,0.118,-33,88.1,0,-9.8,6.9,-0.1,3254
NickDini,Royals,20,64,2,11,6,0,6.30%,28.10%,0.161,0.243,0.196,0.27,0.357,0.269,62,89.7,-0.1,-3.2,-0.1,-0.1,18206
MichaelLorenzen,Reds,105,53,1,6,6,5,9.40%,32.10%,0.104,0.3,0.208,0.283,0.313,0.262,56,96.5,0.1,-3,0.2,-0.1,14843
WilliCastro,Tigers,30,110,1,10,8,0,5.50%,30.90%,0.11,0.333,0.23,0.284,0.34,0.27,63,84.7,-1.4,-6.5,1.5,-0.1,17338
TravisJankowski,Padres,25,24,0,4,0,2,8.30%,16.70%,0,0.222,0.182,0.25,0.182,0.202,21,79.4,-0.2,-2.7,0.7,-0.1,13768
LoganMorrison,Phillies,29,38,2,5,3,0,7.90%,26.30%,0.2,0.217,0.2,0.263,0.4,0.28,69,87.7,-0.3,-1.9,-0.6,-0.1,9205
JonathanDavis,Blue Jays,37,95,2,8,6,3,5.30%,25.30%,0.084,0.224,0.181,0.266,0.265,0.24,45,84.6,1.1,-5.6,1,-0.1,15104
JesusAguilar,- - -,131,369,12,39,50,0,11.70%,22.00%,0.153,0.272,0.236,0.325,0.389,0.307,88,89.4,-1.9,-7.6,-5.9,-0.1,11342
PhilGosselin,Phillies,44,68,0,5,7,0,4.40%,23.50%,0.046,0.347,0.262,0.294,0.308,0.263,58,88.6,0.6,-3.2,-0.3,-0.1,10953
NickPivetta,Phillies,30,27,0,1,0,0,3.70%,70.40%,0,0.333,0.08,0.115,0.08,0.093,-53,85.7,0,-5.5,3.3,-0.1,15454
ScottHeineman,Rangers,25,85,2,8,7,1,10.60%,23.50%,0.16,0.264,0.213,0.306,0.373,0.295,72,87.4,-1.2,-4.2,-0.1,-0.1,14453
ElieserHernandez,Marlins,21,24,0,0,0,0,4.20%,41.70%,0,0.111,0.053,0.1,0.053,0.078,-59,80.1,0,-5,3,-0.1,16933
AdamJones,Diamondbacks,137,528,16,66,67,2,5.90%,19.10%,0.155,0.296,0.26,0.313,0.414,0.308,87,86.1,-2,-10.9,-7.5,-0.1,6368
JacePeterson,Orioles,29,108,2,14,11,4,5.60%,22.20%,0.11,0.267,0.22,0.269,0.33,0.258,55,88.4,1.6,-4.7,-0.5,-0.1,12325
MattAdams,Nationals,111,333,20,42,56,0,6.00%,34.50%,0.239,0.284,0.226,0.276,0.465,0.306,84,88.6,-1.2,-8.1,-4.1,-0.1,9393
CarlosGomez,Mets,34,99,3,10,10,4,7.10%,30.30%,0.14,0.259,0.198,0.278,0.337,0.268,67,88.1,0.1,-4.2,-0.4,-0.1,4881
RafaelOrtega,Braves,34,96,2,7,10,3,8.30%,22.90%,0.102,0.25,0.205,0.271,0.307,0.254,51,86.6,1.2,-5.1,0.5,-0.1,10323
DarioAgrazal,Pirates,15,24,0,0,2,0,0.00%,37.50%,0,0.143,0.091,0.087,0.091,0.076,-63,86.3,0,-5.2,3,-0.1,15821
RyonHealy,Mariners,47,187,7,24,26,0,7.00%,21.40%,0.219,0.262,0.237,0.289,0.456,0.308,94,89.6,-2.3,-3.7,-4.4,-0.1,15447
JordanYamamoto,Marlins,16,26,0,0,1,0,3.80%,34.60%,0,0.083,0.048,0.091,0.048,0.071,-63,83,0,-5.6,3.2,-0.2,17585
ChrisPaddack,Padres,26,46,0,3,2,0,0.00%,41.30%,0,0.217,0.119,0.119,0.119,0.104,-44,84,0,-8.7,5.7,-0.2,20099
GerardoParra,- - -,119,301,9,38,48,8,6.30%,19.60%,0.157,0.264,0.234,0.293,0.391,0.288,74,86.2,-1.4,-11.7,0.4,-0.2,8553
MikeLeake,- - -,32,24,0,0,1,0,4.20%,45.80%,0,0.1,0.048,0.091,0.048,0.071,-69,69.6,0,-5.4,3,-0.2,10130
KalebCowart,Angels,9,26,0,1,1,1,3.80%,26.90%,0.12,0.222,0.16,0.192,0.28,0.2,20,83,-0.3,-3,0.4,-0.2,11494
TylerMahle,Reds,27,41,0,4,0,0,2.40%,46.30%,0.029,0.2,0.088,0.114,0.118,0.104,-48,88.4,0,-8,5,-0.2,16358
TimFederowicz,Rangers,29,83,4,6,7,1,6.00%,37.30%,0.187,0.2,0.16,0.213,0.347,0.236,32,90.4,0.2,-7,2.4,-0.2,8609
JaredWalsh,Angels,34,87,1,6,5,0,6.90%,40.20%,0.127,0.349,0.203,0.276,0.329,0.259,60,91.3,0.2,-4.3,-0.4,-0.2,18607
JoshFuentes,Rockies,24,56,3,8,7,1,1.80%,35.70%,0.182,0.281,0.218,0.232,0.4,0.262,43,84.5,0.6,-3.6,0.1,-0.2,16885
CharlieTilson,White Sox,54,157,1,16,12,4,6.40%,24.20%,0.056,0.305,0.229,0.293,0.285,0.256,57,86.8,3.2,-5.4,-1.9,-0.2,12983
CalQuantrill,Padres,23,30,0,1,1,0,3.30%,20.00%,0,0.105,0.08,0.115,0.08,0.093,-50,78.3,-0.4,-6.4,3.7,-0.2,19312
JordanLyles,- - -,28,48,0,3,4,0,2.10%,58.30%,0,0.235,0.089,0.128,0.089,0.104,-45,81.2,0,-9.2,5.9,-0.2,7593
LaMonteWadeJr,Twins,26,69,2,10,5,0,15.90%,13.00%,0.179,0.2,0.196,0.348,0.375,0.32,98,88.7,0,-0.2,-4,-0.2,18126
JoshNaylor,Padres,94,279,8,29,32,1,9.00%,22.90%,0.154,0.302,0.249,0.315,0.403,0.306,89,89.6,-0.1,-4.1,-6.8,-0.2,18839
NickMartini,- - -,32,109,1,8,7,0,12.80%,23.90%,0.097,0.299,0.226,0.33,0.323,0.291,80,87.6,0.9,-2,-3.5,-0.2,12005
DanielMurphy,Rockies,132,478,13,56,78,1,6.70%,15.50%,0.174,0.307,0.279,0.328,0.452,0.328,86,86.3,-0.8,-9.4,-7.9,-0.2,4316
ClaytonKershaw,Dodgers,29,65,0,1,1,0,1.50%,24.60%,0.02,0.152,0.102,0.12,0.122,0.108,-39,83.4,0,-12,8,-0.2,2036
AnthonyBemboom,- - -,25,56,1,2,4,0,1.80%,37.50%,0.074,0.188,0.13,0.145,0.204,0.149,-15,83.7,0.1,-8.1,4.3,-0.2,13854
GregoryPolanco,Pirates,42,167,6,23,17,3,7.20%,29.30%,0.183,0.316,0.242,0.301,0.425,0.305,87,89.6,0.2,-2.6,-4.8,-0.2,12907
JoseTrevino,Rangers,40,126,2,18,13,0,2.40%,21.40%,0.125,0.312,0.258,0.272,0.383,0.274,59,86.8,-3.7,-10.3,3.9,-0.2,16725
WilmerDifo,Nationals,43,144,2,15,8,0,8.30%,20.10%,0.061,0.31,0.252,0.315,0.313,0.27,60,83.9,-0.3,-7.9,1.2,-0.2,14320
DrewSmyly,- - -,25,20,0,1,0,0,5.00%,45.00%,0,0,0,0.05,0,0.035,-91,83.9,0,-5.1,2.5,-0.2,11760
JesusSucre,Orioles,21,67,0,3,3,0,6.00%,19.40%,0.032,0.265,0.21,0.269,0.242,0.231,37,88,-0.4,-5.9,1.5,-0.2,5942
ChanceSisco,Orioles,59,198,8,29,20,0,11.10%,30.80%,0.186,0.276,0.21,0.333,0.395,0.319,96,89.5,-0.4,-1.5,-7.5,-0.2,15694
MikeSoroka,Braves,29,63,0,2,3,0,3.20%,34.90%,0,0.133,0.077,0.143,0.077,0.112,-42,79.1,0,-11.8,7.7,-0.2,18383
MarkZagunis,Cubs,30,40,0,2,5,0,10.00%,40.00%,0.083,0.45,0.25,0.325,0.333,0.291,77,86.2,-0.3,-1.6,-1.8,-0.2,16565
JoseUrena,Marlins,25,22,0,1,0,0,4.50%,63.60%,0,0,0,0.05,0,0.035,-87,74,0,-5.4,2.7,-0.2,11589
JackMayfield,Astros,26,65,2,8,5,0,1.50%,24.60%,0.172,0.174,0.156,0.169,0.328,0.204,23,85.6,0.6,-5.8,1.4,-0.2,15402
JustinUpton,Angels,63,256,12,34,40,1,12.50%,30.50%,0.201,0.261,0.215,0.309,0.416,0.307,92,87.2,-0.4,-3,-8.2,-0.2,5222
DavidFreitas,- - -,17,20,0,2,1,0,20.00%,25.00%,0,0.091,0.067,0.25,0.067,0.182,5,85.5,-0.3,-2.8,0.1,-0.2,10619
JaCobyJones,Tigers,88,333,11,39,26,7,8.10%,28.20%,0.195,0.304,0.235,0.31,0.43,0.311,92,91.6,1,-2.6,-11.3,-0.2,14818
IanKinsler,Padres,87,281,9,28,22,2,6.80%,19.20%,0.151,0.24,0.217,0.278,0.368,0.277,70,84.3,-3.2,-14.3,3.1,-0.2,6195
SandyAlcantara,Marlins,32,63,0,2,4,0,1.60%,73.00%,0.017,0.417,0.086,0.117,0.103,0.102,-43,84.1,0,-11.9,7.7,-0.2,18684
DustinPeterson,Tigers,17,47,0,3,6,1,4.30%,29.80%,0.091,0.333,0.227,0.277,0.318,0.259,56,84.5,-0.7,-3.3,-0.5,-0.2,15189
AndrewKnizner,Cardinals,18,58,2,7,7,2,6.90%,24.10%,0.151,0.27,0.226,0.293,0.377,0.289,78,88.1,-0.2,-1.9,-2.1,-0.2,19514
GioGonzalez,Brewers,19,28,0,1,0,0,3.60%,60.70%,0,0.125,0.04,0.077,0.04,0.06,-76,76.9,0,-6.5,3.4,-0.2,7448
MaxMoroff,Indians,20,35,1,3,4,1,5.70%,45.70%,0.125,0.2,0.125,0.176,0.25,0.185,3,90.4,0.9,-3.5,0.1,-0.2,14556
YairoMunoz,Cardinals,88,181,2,20,13,8,3.90%,20.40%,0.087,0.328,0.267,0.298,0.355,0.281,73,84.7,-0.2,-6.7,-1.4,-0.2,16313
MarcusStroman,- - -,32,25,0,2,0,0,0.00%,52.00%,0,0.1,0.043,0.043,0.043,0.038,-83,85.6,0,-6.1,3.1,-0.2,13431
RichardUrena,Blue Jays,30,80,0,4,4,0,2.50%,28.80%,0.081,0.353,0.243,0.273,0.324,0.258,57,86.7,-0.7,-5.2,0.1,-0.2,16411
HanleyRamirez,Indians,16,57,2,4,8,0,14.00%,29.80%,0.143,0.233,0.184,0.298,0.327,0.278,66,88.9,-0.1,-2.6,-1.6,-0.2,8001
KevanSmith,Angels,67,211,5,21,20,2,7.60%,17.50%,0.141,0.287,0.251,0.318,0.393,0.305,91,89.5,-1.8,-4.2,-5.5,-0.2,12284
AdrianSanchez,Nationals,28,32,0,3,1,0,3.10%,31.30%,0,0.333,0.226,0.25,0.226,0.212,22,87.2,0.3,-3,-0.3,-0.2,11338
GarrettHampson,Rockies,105,327,8,40,27,15,7.30%,26.90%,0.137,0.322,0.247,0.302,0.385,0.292,63,85.8,4.2,-11.8,-1,-0.2,19262
NickyLopez,Royals,103,402,2,44,30,1,4.50%,12.70%,0.084,0.273,0.24,0.276,0.325,0.26,56,85,-0.6,-23.3,6.9,-0.2,19339
RyanCordell,White Sox,97,247,7,22,24,3,7.70%,27.90%,0.134,0.287,0.221,0.29,0.355,0.279,73,88.9,0.1,-8.4,-2.6,-0.2,15181
YuChengChang,Indians,28,84,1,8,6,0,13.10%,26.20%,0.096,0.24,0.178,0.286,0.274,0.254,50,87.9,-1.3,-6.8,1.5,-0.2,14773
RyanFlaherty,Indians,14,22,0,4,1,0,0.00%,31.80%,0.095,0.214,0.143,0.143,0.238,0.157,-16,96.1,0.2,-3.1,-0.1,-0.2,7888
PatrickCorbin,Nationals,33,72,0,3,4,0,4.20%,37.50%,0.015,0.158,0.092,0.132,0.108,0.112,-43,81.9,0,-13.6,8.9,-0.2,9323
SandyLeon,Red Sox,65,191,5,14,19,0,6.80%,24.60%,0.105,0.231,0.192,0.251,0.297,0.239,40,85.4,-0.2,-15,5.8,-0.2,5273
HernanPerez,Brewers,91,246,8,29,18,5,4.50%,26.80%,0.151,0.283,0.228,0.262,0.379,0.271,62,88.5,-1.8,-14.1,3.7,-0.2,5751
AnibalSanchez,Nationals,30,56,0,1,1,0,0.00%,42.90%,0,0.214,0.115,0.115,0.115,0.1,-51,78.6,0,-11.1,6.9,-0.2,3284
AlexYoung,Diamondbacks,17,25,0,1,0,0,0.00%,72.00%,0,0.143,0.04,0.04,0.04,0.035,-92,73,0,-6.3,3.1,-0.2,18333
DrewPomeranz,- - -,46,20,0,0,0,0,0.00%,65.00%,0,0,0,0,0,0,-100,85.6,0,-5.6,2.5,-0.2,11426
WilliansAstudillo,Twins,58,204,4,28,21,0,2.50%,3.90%,0.111,0.258,0.268,0.299,0.379,0.288,76,85.9,-2.4,-8.6,-1,-0.2,15608
JulioTeheran,Braves,35,60,0,1,4,0,0.00%,40.00%,0.018,0.188,0.109,0.107,0.127,0.099,-50,84.2,0,-11.9,7.4,-0.3,6797
TaylorWard,Angels,20,48,1,4,2,0,12.50%,47.90%,0.143,0.389,0.19,0.292,0.333,0.275,71,91.7,0,-1.8,-2.5,-0.3,17548
HaroldCastro,Tigers,97,369,5,30,38,4,2.40%,23.30%,0.093,0.367,0.291,0.305,0.384,0.292,79,87.3,0.8,-9.3,-6.4,-0.3,14691
AndrewVelazquez,- - -,15,24,0,3,0,1,4.20%,54.20%,0.087,0.2,0.087,0.125,0.174,0.13,-30,92.1,0.3,-3.7,0.2,-0.3,14196
YuDarvish,Cubs,31,62,0,1,3,0,3.20%,50.00%,0,0.192,0.089,0.119,0.089,0.097,-50,89.4,0,-12.3,7.6,-0.3,13074
NickHundley,Athletics,31,73,2,5,5,0,2.70%,24.70%,0.157,0.24,0.2,0.233,0.357,0.248,53,84.6,-2.2,-6.5,1.3,-0.3,3376
KevinGausman,- - -,31,27,0,1,0,0,0.00%,66.70%,0,0.111,0.037,0.037,0.037,0.032,-94,74.5,0,-6.9,3.3,-0.3,14107
ChiChiGonzalez,Rockies,14,24,0,0,2,0,0.00%,62.50%,0,0.111,0.042,0.042,0.042,0.036,-100,83.9,0,-6.5,3,-0.3,14663
AnthonyDeSclafani,Reds,31,57,0,0,1,0,0.00%,49.10%,0,0.222,0.109,0.109,0.109,0.095,-54,89.5,0,-11.6,7,-0.3,13050
DJStewart,Orioles,44,142,4,15,15,1,9.90%,18.30%,0.143,0.268,0.238,0.317,0.381,0.299,82,87.9,-1,-4.2,-3.6,-0.3,17766
MattWieters,Cardinals,67,183,11,15,27,1,6.60%,25.70%,0.22,0.223,0.214,0.268,0.435,0.292,81,88.8,-0.8,-5.5,-3.2,-0.3,4298
MarkTrumbo,Orioles,12,31,0,1,3,0,6.50%,16.10%,0.103,0.208,0.172,0.226,0.276,0.218,28,90,-0.3,-3.2,-0.8,-0.3,6876
ChrisHerrmann,Athletics,30,94,1,9,8,0,9.60%,30.90%,0.071,0.296,0.202,0.28,0.274,0.248,53,88.7,-0.3,-5.9,-0.3,-0.3,9284
AustinAllen,Padres,34,71,0,4,3,0,8.50%,29.60%,0.062,0.318,0.215,0.282,0.277,0.23,39,84.2,-0.2,-5.9,0.7,-0.3,18083
JasonVargas,- - -,30,45,0,0,0,0,0.00%,48.90%,0,0.167,0.075,0.075,0.075,0.065,-68,80.1,0,-10,5.5,-0.3,8044
PatValaika,Rockies,40,86,1,11,4,0,8.10%,39.50%,0.127,0.318,0.19,0.256,0.316,0.248,34,88.8,0.4,-7.1,1.2,-0.3,14885
MattDuffy,Rays,46,169,1,12,12,0,11.20%,17.20%,0.075,0.305,0.252,0.343,0.327,0.299,88,87,-2,-4.7,-4.4,-0.3,13836
AustinWynns,Orioles,28,74,1,8,5,0,4.10%,18.90%,0.057,0.255,0.214,0.247,0.271,0.226,33,87,0.4,-5.9,0.2,-0.3,15271
YangervisSolarte,Giants,28,78,1,9,7,0,5.10%,20.50%,0.11,0.25,0.205,0.247,0.315,0.236,44,82.9,-0.2,-6,0.3,-0.3,5352
IanDesmond,Rockies,140,482,20,64,65,3,7.10%,24.70%,0.223,0.304,0.255,0.31,0.479,0.328,86,90.9,-1.7,-10.4,-8.3,-0.3,6885
DakotaHudson,Cardinals,33,59,0,1,2,0,0.00%,40.70%,0,0.148,0.078,0.096,0.078,0.081,-58,83.5,0,-12.3,7.3,-0.3,19206
ChrisShaw,Giants,16,20,0,0,0,0,10.00%,40.00%,0,0.1,0.056,0.15,0.056,0.113,-36,93.4,0.2,-3.4,-0.4,-0.3,17738
DanielRobertson,Rays,74,237,2,23,19,2,10.10%,24.90%,0.082,0.288,0.213,0.312,0.295,0.275,71,87.7,-2.9,-11.6,0,-0.3,14145
PatrickWisdom,Rangers,9,28,0,1,1,0,3.60%,53.60%,0.038,0.364,0.154,0.185,0.192,0.167,-14,94.3,0,-4.1,-0.1,-0.3,13602
MaxStassi,- - -,51,147,1,7,5,0,8.20%,33.30%,0.03,0.202,0.136,0.211,0.167,0.177,5,89.3,-1.4,-19.2,10.8,-0.3,10059
MikeFoltynewicz,Braves,21,38,0,1,1,0,0.00%,50.00%,0,0.125,0.057,0.057,0.057,0.05,-83,78.9,0,-9.2,4.7,-0.3,10811
JoseQuintana,Cubs,32,63,0,2,3,0,0.00%,42.90%,0.019,0.185,0.093,0.093,0.111,0.087,-57,81.4,0,-13.1,7.7,-0.3,11423
RonaldGuzman,Rangers,87,295,10,34,36,1,10.80%,29.50%,0.195,0.282,0.219,0.308,0.414,0.306,80,85.6,-4.1,-11.7,-2.1,-0.3,14388
ZackCollins,White Sox,27,102,3,10,12,0,13.70%,38.20%,0.163,0.295,0.186,0.307,0.349,0.285,77,90.7,-0.4,-3.3,-3.7,-0.3,19181
BryanHoladay,Marlins,43,129,4,12,12,0,8.50%,16.30%,0.157,0.308,0.278,0.344,0.435,0.326,104,88.3,-3.6,-2.9,-4.7,-0.3,11287
MiguelCabrera,Tigers,136,549,12,41,59,0,8.70%,19.70%,0.116,0.336,0.282,0.346,0.398,0.318,96,90.3,-6.3,-9,-13.9,-0.3,1744
LukeMaile,Blue Jays,45,129,2,9,9,1,6.20%,25.60%,0.084,0.19,0.151,0.205,0.235,0.194,14,84.7,1.4,-12.9,4.9,-0.3,13355
LuisCastillo,Reds,32,66,0,3,0,0,0.00%,48.50%,0.016,0.2,0.097,0.097,0.113,0.09,-58,79.3,0,-13.7,8.1,-0.3,15689
JoeyLucchesi,Padres,30,54,0,0,1,0,1.90%,66.70%,0,0.25,0.063,0.082,0.063,0.067,-67,82,0,-11.9,6.6,-0.3,19320
ErikKratz,- - -,21,53,1,1,3,0,3.80%,26.40%,0.102,0.118,0.102,0.17,0.204,0.169,-1,85.7,-0.3,-7.2,1.8,-0.4,4403
DustinPedroia,Red Sox,6,21,0,1,1,0,4.80%,9.50%,0,0.111,0.1,0.143,0.1,0.116,-44,85.6,-0.1,-4,-0.5,-0.4,8370
TravisDemeritte,Tigers,48,186,3,24,10,3,7.50%,33.90%,0.118,0.337,0.225,0.286,0.343,0.272,65,91.1,1.2,-7.1,-3.2,-0.4,15958
JakeBauers,Indians,117,423,12,46,43,3,10.60%,27.20%,0.145,0.29,0.226,0.312,0.371,0.296,78,88.1,1,-10.8,-8,-0.4,15194
OdubelHerrera,Phillies,39,139,1,12,16,2,7.90%,23.70%,0.119,0.29,0.222,0.288,0.341,0.272,64,88,0.5,-6.1,-2.1,-0.4,11476
EricHosmer,Padres,160,667,22,72,99,0,6.00%,24.40%,0.16,0.323,0.265,0.31,0.425,0.309,91,90.8,-5.2,-13.1,-12.4,-0.4,3516
JonGray,Rockies,27,59,0,1,1,0,5.10%,37.30%,0,0.12,0.064,0.12,0.064,0.094,-67,77.2,0,-13,7.3,-0.4,14916
TylerSaladino,Brewers,28,71,2,7,8,2,7.00%,36.60%,0.092,0.162,0.123,0.197,0.215,0.187,7,88.2,0.7,-8,1.8,-0.4,10807
AlbertPujols,Angels,131,545,23,55,93,3,7.90%,12.50%,0.185,0.238,0.244,0.305,0.43,0.308,93,88.3,-4.4,-9.3,-13.9,-0.4,1177
JustinBour,Angels,52,170,8,18,26,0,10.00%,30.60%,0.192,0.196,0.172,0.259,0.364,0.267,65,89.3,-1.3,-8.9,-1.1,-0.4,9744
GorkysHernandez,Red Sox,20,57,0,5,2,1,8.80%,24.60%,0.102,0.194,0.143,0.218,0.245,0.204,15,80.5,0.5,-5.7,-0.4,-0.4,4146
OrlandoArcia,Brewers,152,546,15,51,59,8,7.90%,20.00%,0.128,0.253,0.223,0.283,0.35,0.269,61,87.9,0.9,-27.3,5.4,-0.4,13185
MikeGerber,Giants,12,26,0,0,0,0,7.70%,57.70%,0.042,0.111,0.042,0.115,0.083,0.1,-45,90.2,0.2,-4.8,-0.3,-0.4,16115
JaylinDavis,Giants,17,47,1,2,3,1,6.40%,23.40%,0.071,0.2,0.167,0.255,0.238,0.227,39,87.9,-0.8,-4.6,-1.1,-0.4,19552
RobbieRay,Diamondbacks,34,60,0,1,3,0,0.00%,46.70%,0,0.148,0.073,0.073,0.073,0.063,-73,79.5,0,-13.7,7.4,-0.4,11486
IsaacGalloway,Marlins,19,54,0,6,1,2,0.00%,31.50%,0.019,0.243,0.167,0.167,0.185,0.151,-11,85.6,0.9,-7,0.8,-0.4,5238
MarcoHernandez,Red Sox,61,155,2,18,11,1,1.90%,27.10%,0.088,0.337,0.25,0.279,0.338,0.266,58,86.7,-1.3,-9.8,-0.2,-0.4,13154
PeterO'Brien,Marlins,14,47,1,2,4,1,8.50%,40.40%,0.095,0.273,0.167,0.255,0.262,0.234,43,91.9,0.4,-3.1,-2.9,-0.4,13288
YadielRivera,Marlins,34,66,0,8,3,2,9.10%,30.30%,0.033,0.275,0.183,0.258,0.217,0.218,33,89.3,1,-4.9,-1.8,-0.4,11863
BobbyBradley,Indians,15,49,1,4,4,0,8.20%,40.80%,0.178,0.292,0.178,0.245,0.356,0.256,51,91.9,-0.5,-3.6,-2.8,-0.4,17278
KevinKramer,Pirates,22,50,0,5,5,0,12.00%,34.00%,0.024,0.259,0.167,0.26,0.19,0.212,26,86.4,-0.2,-5,-1.3,-0.5,17689
TomasNido,Mets,50,144,4,9,14,0,4.90%,25.70%,0.125,0.232,0.191,0.231,0.316,0.227,40,87.4,-2.4,-13.8,4.4,-0.5,13755
BlakeSwihart,- - -,43,99,4,13,13,0,6.10%,36.40%,0.141,0.212,0.163,0.222,0.304,0.228,34,85.6,0.4,-8.2,0.1,-0.5,13176
AlenHanson,Blue Jays,18,48,0,5,4,1,6.30%,35.40%,0,0.259,0.163,0.229,0.163,0.174,0,82,0.4,-5.8,-0.8,-0.5,12926
BubbaStarling,Royals,56,197,4,26,12,2,4.60%,28.40%,0.102,0.286,0.215,0.255,0.317,0.247,47,81.8,1.2,-12.1,0.2,-0.5,13356
ScooterGennett,- - -,42,139,2,15,11,0,1.40%,29.50%,0.098,0.304,0.226,0.245,0.323,0.241,44,86.3,-0.1,-10.3,0.8,-0.5,10339
MaikelFranco,Phillies,123,428,17,48,56,0,8.40%,14.30%,0.175,0.236,0.234,0.297,0.409,0.281,70,89.1,-3.2,-20.3,1.5,-0.5,12179
JakeElmore,Pirates,20,49,0,3,4,0,4.10%,16.30%,0.021,0.256,0.213,0.245,0.234,0.213,27,86.6,-0.6,-5.3,-1.3,-0.5,7290
StevenDuggar,Giants,73,281,4,26,28,1,5.70%,27.80%,0.107,0.313,0.234,0.278,0.341,0.265,64,85.7,-1,-14.4,0.3,-0.5,17719
MattSkole,White Sox,27,80,0,7,6,0,8.80%,38.80%,0.028,0.357,0.208,0.275,0.236,0.232,41,82,0.2,-5.9,-2.1,-0.5,12119
NickyDelmonico,White Sox,21,68,1,6,6,0,5.90%,36.80%,0.079,0.324,0.206,0.265,0.286,0.243,49,87,-0.3,-4.7,-2.8,-0.5,13157
AntonioSenzatela,Rockies,25,46,0,2,3,0,2.20%,52.20%,0,0.063,0.025,0.049,0.025,0.038,-100,89.2,0,-12.4,5.7,-0.5,15488
CarterKieboom,Nationals,11,43,2,4,2,0,9.30%,37.20%,0.154,0.143,0.128,0.209,0.282,0.204,17,90.9,0.2,-4.5,-2.2,-0.5,19958
PeterBourjos,Angels,26,46,0,4,2,2,2.20%,32.60%,0.023,0.133,0.091,0.109,0.114,0.098,-49,85.1,0.5,-8.3,1.3,-0.5,2578
JohanCamargo,Braves,98,248,7,31,32,1,6.00%,17.30%,0.151,0.258,0.233,0.279,0.384,0.279,67,86.9,0.5,-10.2,-3.2,-0.5,14950
TonyWolters,Rockies,121,411,1,42,42,0,8.80%,16.50%,0.067,0.314,0.262,0.337,0.329,0.29,62,85.3,-1.5,-22.3,3.5,-0.5,11470
DrewButera,Rockies,16,49,0,6,3,0,8.20%,28.60%,0.07,0.233,0.163,0.229,0.233,0.206,7,84.6,-0.7,-6.8,-0.3,-0.5,3411
ChrisIannetta,Rockies,52,164,6,20,21,0,11.00%,32.90%,0.194,0.306,0.222,0.311,0.417,0.303,70,92.1,-2.2,-8.6,-2.2,-0.5,8267
JonathanLucroy,- - -,101,328,8,30,36,0,8.20%,15.50%,0.123,0.253,0.232,0.305,0.355,0.286,77,86.9,-5.8,-15.6,-1.3,-0.5,7870
MerrillKelly,Diamondbacks,32,60,0,3,2,0,3.30%,41.70%,0,0.037,0.019,0.056,0.019,0.042,-87,84.5,0,-14.8,7.4,-0.5,11156
PabloReyes,Pirates,71,157,2,18,19,1,8.30%,22.90%,0.119,0.257,0.203,0.274,0.322,0.26,58,88.2,1.8,-7,-3.7,-0.5,16357
MacWilliamson,- - -,40,144,4,13,17,2,9.70%,30.60%,0.102,0.2,0.156,0.25,0.258,0.23,41,85.4,-0.4,-11.4,0.9,-0.5,14158
BradenBishop,Mariners,27,60,0,3,4,0,5.00%,35.00%,0,0.171,0.107,0.153,0.107,0.124,-31,83.1,0,-10,2.3,-0.5,17806
AJReed,White Sox,14,49,1,1,4,0,8.20%,42.90%,0.068,0.217,0.136,0.204,0.205,0.185,9,88.3,0,-5.7,-1.6,-0.5,16246
FranklinBarreto,Athletics,23,58,2,6,5,1,1.70%,39.70%,0.14,0.156,0.123,0.138,0.263,0.166,-2,89,0.8,-6.8,-0.9,-0.6,15519
MikieMahtook,Tigers,9,25,0,0,0,0,8.00%,44.00%,0,0,0,0.08,0,0.055,-82,88.6,0,-5.8,-0.8,-0.6,13130
RosellHerrera,Marlins,63,119,2,10,11,4,9.20%,22.70%,0.114,0.25,0.2,0.288,0.314,0.263,63,87.9,1.1,-4.7,-4.9,-0.6,11611
LeonysMartin,Indians,65,264,9,32,19,4,8.00%,29.50%,0.144,0.255,0.199,0.276,0.343,0.269,60,87.3,0.6,-12.9,-2.3,-0.6,11846
CarlosGonzalez,- - -,45,166,3,21,10,0,10.80%,31.30%,0.083,0.283,0.2,0.289,0.283,0.254,51,87.6,-0.9,-11.5,-0.3,-0.6,7287
BobbyWilson,Tigers,15,47,0,2,2,0,4.30%,23.40%,0.023,0.121,0.091,0.13,0.114,0.113,-42,78.2,-0.1,-8.7,0.9,-0.6,6564
JosePeraza,Reds,141,403,6,37,33,7,4.20%,14.40%,0.106,0.268,0.239,0.285,0.346,0.272,62,84.9,-1,-21.2,2.1,-0.6,13593
BrandonDrury,Blue Jays,120,447,15,43,41,0,5.60%,25.30%,0.163,0.259,0.218,0.262,0.38,0.271,66,86.9,1.6,-18.1,-3.9,-0.6,11615
JakeRogers,Tigers,35,128,4,11,8,0,10.20%,39.80%,0.134,0.175,0.125,0.222,0.259,0.216,27,83,-1.2,-13.2,2.5,-0.6,19452
CorbanJoseph,- - -,28,68,1,5,7,0,4.40%,17.60%,0.094,0.173,0.156,0.191,0.25,0.189,14,87.3,-0.5,-8.2,-0.5,-0.6,5503
